Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app2/bench_863,,3,6.3,,254,40.9,,244,35.4,,256,37.8,,245,46.6,,3,1.9
QF_BV/sage/app2/bench_1196,,3,6.0,,231,20.3,,224,21.0,,237,35.9,,225,38.4,,3,1.5
QF_BV/sage/app2/bench_1387,,1,17.1,,1,0.6,,1,0.6,,1,0.7,,1,0.7,,1,0.5
QF_BV/sage/app5/bench_42,,2,3.5,,19,2.9,,19,2.9,,19,5.1,,19,5.1,,5,0.2
QF_BV/sage/app5/bench_349,,2,4.1,,157,35.4,,151,38.8,,156,40.9,,150,28.7,,3,0.6
QF_BV/sage/app5/bench_357,,2,6.5,,152,24.5,,145,41.8,,156,50.6,,150,39.8,,3,0.3
QF_BV/sage/app5/bench_575,,3,0.1,,51,1.6,,50,1.6,,51,1.8,,51,1.8,,3,0.0
QF_BV/sage/app5/bench_742,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/sage/app5/bench_794,,2,0.0,,27,0.2,,27,0.2,,27,0.3,,27,0.3,,3,0.0
QF_BV/sage/app5/bench_931,,2,0.2,,50,4.2,,42,5.0,,32,2.6,,30,2.6,,2,0.0
QF_BV/sage/app5/bench_959,,2,0.4,,32,2.3,,27,2.3,,19,2.9,,17,2.3,,2,0.1
QF_BV/sage/app5/bench_960,,3,0.1,,27,0.3,,27,0.3,,27,0.3,,27,0.3,,3,0.0
QF_BV/sage/app5/bench_1163,,3,0.6,,96,6.2,,72,4.9,,111,10.8,,77,11.8,,3,0.1
QF_BV/sage/app5/bench_1170,,3,0.7,,131,9.7,,106,8.9,,138,14.2,,110,12.2,,4,0.1
QF_BV/sage/app5/bench_1182,,3,5.0,,114,18.9,,112,19.2,,116,14.1,,114,19.3,,3,0.2
