Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_998,,13,73.1,,11,74.7,,11,102.2,,11,160.2
QF_BV/sage/app1/bench_1000,,13,44.4,,11,67.4,,10,69.8,,11,148.2
QF_BV/sage/app1/bench_1004,,11,35.9,,9,55.4,,9,62.7,,9,129.1
QF_BV/sage/app1/bench_1006,,10,46.2,,9,55.1,,9,61.5,,9,113.7
QF_BV/sage/app1/bench_1008,,9,35.8,,8,48.1,,9,62.4,,9,113.8
QF_BV/sage/app1/bench_1010,,10,32.3,,8,51.9,,8,44.8,,8,105.8
QF_BV/sage/app1/bench_1012,,9,63.3,,8,59.8,,8,59.0,,7,95.5
QF_BV/sage/app1/bench_1015,,8,34.0,,8,58.6,,7,54.2,,7,96.8
QF_BV/sage/app1/bench_1017,,8,24.7,,7,43.7,,7,61.8,,7,93.0
QF_BV/sage/app1/bench_1019,,8,35.0,,7,39.7,,7,51.3,,7,96.0
QF_BV/sage/app1/bench_1021,,8,35.3,,7,47.3,,7,40.2,,7,91.7
QF_BV/sage/app1/bench_1023,,7,33.0,,7,49.5,,7,54.2,,7,103.6
QF_BV/sage/app1/bench_1027,,8,35.4,,7,52.0,,7,41.5,,7,103.9
QF_BV/sage/app1/bench_1035,,9,29.7,,6,41.4,,7,56.2,,7,98.6
QF_BV/sage/app1/bench_1109,,8,47.2,,7,57.9,,7,46.3,,7,108.9
QF_BV/sage/app1/bench_1110,,8,42.6,,7,48.4,,7,49.0,,7,107.0
QF_BV/sage/app1/bench_1126,,16,593.0,,15,668.9,,14,700.5,,14,720.8
QF_BV/sage/app1/bench_1128,,8,35.5,,7,50.7,,7,73.2,,7,113.3
QF_BV/sage/app1/bench_1448,,16,588.8,,15,753.9,,15,1707.7,,15,1071.0
QF_BV/sage/app1/bench_1459,,16,489.4,,15,469.8,,15,1213.4,,15,1042.2
QF_BV/sage/app1/bench_1470,,16,570.1,,15,395.9,,15,882.5,,15,1094.3
QF_BV/sage/app1/bench_1481,,17,603.6,,15,604.4,,15,649.8,,15,1075.9
QF_BV/sage/app1/bench_1492,,17,530.5,,15,597.6,,14,724.8,,15,1175.0
QF_BV/sage/app1/bench_1525,,17,616.4,,16,923.6,,14,1182.9,,15,1100.4
QF_BV/sage/app1/bench_1559,,17,451.4,,16,415.5,,16,1587.0,,16,594.0
QF_BV/sage/app1/bench_1873,,17,724.6,,16,681.8,,15,972.7,,15,1067.5
QF_BV/sage/app1/bench_1877,,16,537.9,,15,761.7,,15,893.7,,15,2052.0
QF_BV/sage/app1/bench_1913,,18,497.8,,16,531.6,,16,929.6,,16,1102.5
QF_BV/sage/app1/bench_1914,,16,783.8,,16,623.3,,15,1843.5,,15,1058.6
QF_BV/sage/app1/bench_1915,,17,398.1,,16,657.5,,15,741.2,,16,1121.9
QF_BV/sage/app1/bench_1916,,17,510.6,,16,628.4,,15,831.6,,15,988.8
QF_BV/sage/app1/bench_1917,,17,631.0,,16,648.1,,16,1535.2,,16,1054.7
QF_BV/sage/app1/bench_1920,,17,472.7,,16,607.5,,16,571.6,,16,1208.6
QF_BV/sage/app1/bench_1924,,17,732.7,,16,635.1,,16,874.0,,16,1164.2
QF_BV/sage/app1/bench_1950,,17,854.2,,16,686.2,,16,822.8,,16,1061.9
QF_BV/sage/app1/bench_2004,,17,618.6,,16,496.0,,16,690.1,,16,501.2
QF_BV/sage/app1/bench_2005,,16,387.9,,16,516.8,,16,811.8,,16,877.6
