Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app5/bench_794,,3,0.0,,33,0.2,,33,0.2,,33,0.8,,33,0.8,,9,0.0
QF_BV/sage/app5/bench_931,,5,0.7,,131,11.2,,106,11.2,,120,11.8,,97,12.2,,7,0.1
QF_BV/sage/app5/bench_959,,5,0.8,,114,7.3,,88,10.9,,107,11.8,,82,11.8,,7,0.1
QF_BV/sage/app5/bench_960,,6,0.1,,33,0.3,,33,0.3,,33,0.7,,33,0.7,,9,0.0
QF_BV/sage/app5/bench_1163,,11,1.8,,166,10.4,,116,14.0,,183,13.8,,120,13.1,,9,0.1
QF_BV/sage/app5/bench_1170,,6,1.6,,182,20.9,,152,12.6,,192,20.2,,156,20.3,,13,0.2
QF_BV/sage/app5/bench_1182,,6,10.9,,160,18.5,,156,31.9,,161,29.7,,158,31.4,,18,1.3
QF_BV/sage/app5/bench_1262,,4,0.2,,46,1.4,,40,1.4,,50,1.4,,42,1.4,,5,0.0
QF_BV/sage/app8/bench_23,,4,3.5,,15,4.5,,15,7.9,,15,6.3,,15,6.3,,14,1.9
QF_BV/sage/app8/bench_49,,5,1.3,,35,5.4,,31,5.8,,36,3.7,,31,5.9,,6,0.2
QF_BV/sage/app8/bench_400,,7,39.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,9,142.9
QF_BV/sage/app8/bench_443,,7,42.1,,- -,- -,,- -,- -,,- -,- -,,78,824.8,,10,115.9
QF_BV/sage/app8/bench_498,,7,39.8,,- -,- -,,124,575.0,,152,674.9,,97,732.4,,18,216.5
QF_BV/sage/app8/bench_525,,5,0.3,,446,0.7,,35,0.4,,- -,- -,,36,0.7,,40,0.3
QF_BV/sage/app8/bench_828,,9,20.9,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,14,208.9
QF_BV/sage/app8/bench_1892,,5,1.2,,37,12.1,,35,4.9,,40,9.2,,35,15.3,,35,0.7
QF_BV/sage/app8/bench_2006,,7,1.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,16,0.3
QF_BV/sage/app8/bench_2310,,5,0.8,,771,1.9,,44,1.0,,44,1.2,,42,1.2,,10,0.1
QF_BV/sage/app8/bench_2647,,12,4.8,,- -,- -,,49,9.4,,- -,- -,,53,7.4,,19,1.1
QF_BV/sage/app8/bench_2880,,6,2.3,,- -,- -,,- -,- -,,- -,- -,,57,9.1,,11,0.7
QF_BV/sage/app8/bench_3177,,5,3.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,45,3.5
QF_BV/sage/app8/bench_3314,,6,2.5,,- -,- -,,- -,- -,,604,5.4,,37,5.8,,16,0.6
QF_BV/sage/app8/bench_3368,,4,2.3,,19,1.9,,19,1.9,,20,3.1,,20,3.1,,34,1.7
QF_BV/sage/app8/bench_3424,,5,1.5,,55,2.5,,44,3.9,,44,3.7,,40,3.7,,11,0.4
QF_BV/sage/app8/bench_3448,,4,0.4,,47,0.8,,34,0.9,,37,1.3,,30,1.3,,8,0.2
QF_BV/sage/app8/bench_3677,,6,0.4,,446,0.6,,35,2.0,,- -,- -,,36,0.8,,16,0.1
QF_BV/sage/app8/bench_3814,,6,2.9,,31,5.9,,26,3.8,,33,5.4,,30,4.7,,8,0.3
QF_BV/sage/app8/bench_3836,,2,0.0,,17,0.2,,17,0.2,,17,0.3,,17,0.3,,6,0.0
QF_BV/sage/app8/bench_3842,,2,0.0,,17,0.2,,17,0.2,,17,0.8,,17,0.8,,5,0.0
QF_BV/sage/app9/bench_885,,7,9.4,,352,110.8,,281,63.0,,356,112.8,,281,112.8,,15,0.8
QF_BV/sage/app9/bench_919,,5,0.2,,73,0.7,,26,1.7,,52,0.7,,26,0.7,,9,0.1
QF_BV/sage/app9/bench_979,,4,0.2,,19,0.6,,19,0.6,,19,1.0,,19,1.0,,6,0.1
QF_BV/sage/app9/bench_1203,,5,1.8,,433,4.6,,37,4.6,,37,3.7,,31,3.7,,9,0.4
QF_BV/sage/app9/bench_1269,,5,0.8,,- -,- -,,- -,- -,,- -,- -,,58,3.8,,17,0.6
QF_BV/sage/app9/bench_1323,,5,0.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,9,0.1
QF_BV/sage/app9/bench_1384,,8,8.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,23,5.4
QF_BV/sage/app9/bench_1400,,10,10.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,31,9.3
QF_BV/sage/app9/bench_1552,,7,2.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,15,0.9
QF_BV/sage/app9/bench_1659,,9,4.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,19,0.8
QF_BV/sage/app9/bench_1969,,4,0.5,,26,0.8,,22,0.9,,25,0.9,,21,0.6,,6,0.2
QF_BV/sage/app9/bench_2061,,4,0.1,,65,1.2,,65,1.2,,65,2.7,,65,2.7,,12,0.1
QF_BV/sage/app9/bench_2358,,2,0.0,,16,0.1,,16,0.1,,16,0.1,,16,0.1,,5,0.0
QF_BV/sage/app9/bench_2518,,4,0.8,,29,1.6,,20,2.5,,29,3.2,,19,3.1,,10,0.1
QF_BV/sage/app9/bench_2940,,6,2.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,22,0.9
QF_BV/sage/app9/bench_3094,,4,0.1,,31,0.4,,31,0.4,,31,0.4,,31,0.4,,7,0.0
QF_BV/sage/app9/bench_3134,,7,43.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,9,150.7
QF_BV/sage/app9/bench_3261,,2,0.0,,17,0.1,,17,0.1,,17,0.8,,17,0.8,,6,0.0
QF_BV/sage/app9/bench_3278,,7,43.0,,- -,- -,,118,506.2,,- -,- -,,- -,- -,,15,285.9
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,4,22.1,,83,61.2,,18,70.7,,85,88.1,,20,99.4,,31,201.1
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,5,27.0,,85,82.8,,19,75.5,,82,96.2,,17,96.2,,29,217.8
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,5,27.6,,182,239.4,,20,313.6,,81,98.9,,16,98.9,,27,296.8
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,8,156.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,8,162.7,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,8,353.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,8,159.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,9,121.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,8,181.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,13,2.9,,- -,- -,,- -,- -,,- -,- -,,85,4.9,,11,0.1
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,9,2.2,,996,5.0,,98,3.2,,- -,- -,,98,3.1,,8,0.1
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,10,5.1,,- -,- -,,- -,- -,,- -,- -,,161,39.6,,27,0.3
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,11,6.9,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,11,0.1
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,10,4.9,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,12,0.1
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,9,6.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,11,0.2
QF_BV/stp_samples/run_03230.trace.cond_012217_0x4182b4_00,,10,3.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,15,0.2
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,7,2.7,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,15,0.3
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,9,3.6,,- -,- -,,- -,- -,,- -,- -,,139,43.9,,20,0.4
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,12,6.7,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,29,0.9
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,13,8.8,,- -,- -,,- -,- -,,201,34.0,,193,34.0,,27,1.7
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,10,7.3,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,12,0.1
QF_BV/stp_samples/run_03230.trace.cond_025424_0x41820e_00,,9,5.2,,- -,- -,,- -,- -,,- -,- -,,168,43.0,,10,0.2
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,6,9.1,,- -,- -,,132,50.3,,131,6.9,,123,6.9,,7,0.1
