Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
,,,,,,,,,,,,
QF_ABV/bench_ab/a84test0002,,2,0.0,,5,0.5,,3,0.1,,2,0.0
QF_ABV/bench_ab/a271test0009,,2,0.1,,6,0.7,,3,0.1,,2,0.1
QF_ABV/bench_ab/a283test0002,,4,0.0,,9,1.0,,4,0.1,,4,0.0
QF_ABV/bench_ab/a288test0004,,2,0.1,,7,0.5,,16,0.8,,3,0.1
QF_ABV/bench_ab/a296test0002,,2,4.8,,2,232.3,,2,4.6,,2,3.9
QF_ABV/bench_ab/b264test0001,,2,0.1,,2,0.0,,2,0.1,,2,0.1
QF_ABV/bmc-arrays/ex6,,9,1.5,,49,17.0,,24,4.0,,15,1.9
QF_ABV/bmc-arrays/ex20,,5,67.1,,- -,- -,,- -,- -,,5,54.0
QF_ABV/bmc-arrays/inf4,,2,1.2,,2,0.3,,2,0.9,,2,1.0
QF_ABV/bmc-arrays/simple_control_on_input,,4,8.6,,- -,- -,,22,32.6,,5,9.7
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,15,0.9,,10,90.7,,15,0.6,,- -,- -
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,10,0.2,,13,40.7,,21,0.6,,- -,- -
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,12,0.6,,10,90.6,,17,0.8,,- -,- -
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,7,0.9,,4,11.4,,11,1.1,,10,1.0
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,11,0.8,,10,90.6,,16,0.6,,- -,- -
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,6,260.8,,- -,- -,,- -,- -,,7,345.4
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,10,0.2,,12,11.6,,13,0.4,,- -,- -
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,9,0.2,,14,53.7,,63,5.5,,- -,- -
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,6,14.3,,5,137.9,,9,22.1,,6,9.8
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,5,29.1,,7,447.7,,9,336.6,,5,20.1
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,6,16.2,,6,191.4,,7,22.9,,6,15.7
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,8,0.2,,14,26.3,,53,3.1,,- -,- -
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,4,0.6,,4,10.0,,6,1.0,,9,1.3
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,5,1.9,,- -,- -,,6,2.6,,6,2.2
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,7,7.0,,236,384.1,,11,11.6,,9,9.3
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,5,2.1,,- -,- -,,6,2.7,,6,2.6
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,5,0.6,,- -,- -,,12,1.5,,16,2.7
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,8,37.4,,33,474.6,,26,126.8,,9,40.5
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,27,46.0,,- -,- -,,136,520.2,,31,41.7
QF_ABV/egt/egt-0474,,3,0.2,,- -,- -,,4,0.2,,4,0.3
QF_ABV/egt/egt-1526,,4,0.3,,- -,- -,,6,0.6,,4,0.3
