Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_1459,,2,69.4,,2,99.0,,2,144.8,,2,223.6
QF_BV/sage/app1/bench_1470,,2,98.8,,2,73.3,,2,168.6,,2,180.8
QF_BV/sage/app1/bench_1481,,2,137.1,,2,79.9,,2,146.2,,2,89.9
QF_BV/sage/app1/bench_1492,,2,53.8,,2,106.7,,2,139.2,,2,181.1
QF_BV/sage/app1/bench_1525,,2,114.4,,2,90.6,,2,109.8,,2,153.8
QF_BV/sage/app1/bench_1559,,2,164.0,,2,93.3,,2,139.3,,2,173.7
QF_BV/sage/app1/bench_1873,,2,89.9,,2,118.8,,2,155.2,,2,213.8
QF_BV/sage/app1/bench_1877,,2,93.0,,2,99.5,,2,95.2,,2,162.4
QF_BV/sage/app1/bench_1913,,2,72.1,,2,68.8,,2,160.6,,2,208.3
QF_BV/sage/app1/bench_1914,,2,76.1,,2,108.3,,2,342.3,,2,115.5
QF_BV/sage/app1/bench_1915,,2,94.0,,2,65.5,,2,133.1,,2,109.5
QF_BV/sage/app1/bench_1916,,2,74.5,,2,85.5,,2,134.8,,2,186.3
QF_BV/sage/app1/bench_1917,,2,74.4,,2,138.2,,2,129.9,,2,101.4
QF_BV/sage/app1/bench_1920,,2,93.3,,2,100.3,,2,160.4,,2,176.4
QF_BV/sage/app1/bench_1924,,2,104.1,,2,106.6,,2,149.3,,2,184.8
QF_BV/sage/app1/bench_1950,,2,81.3,,2,100.6,,2,177.0,,2,182.4
QF_BV/sage/app1/bench_2004,,2,64.9,,2,75.0,,2,124.5,,2,142.5
QF_BV/sage/app1/bench_2005,,2,75.7,,2,90.8,,2,124.0,,2,149.9
QF_BV/sage/app1/bench_2020,,2,91.7,,2,43.9,,2,102.8,,2,142.5
QF_BV/sage/app1/bench_2021,,2,53.3,,2,76.4,,2,132.6,,2,140.9
QF_BV/sage/app1/bench_2022,,2,67.9,,2,49.0,,2,113.4,,2,123.3
QF_BV/sage/app1/bench_2024,,2,91.9,,2,69.6,,2,119.1,,2,136.0
QF_BV/sage/app1/bench_2025,,2,127.9,,2,76.1,,2,102.9,,2,144.8
QF_BV/sage/app1/bench_2028,,2,64.3,,2,69.5,,2,198.8,,2,145.4
QF_BV/sage/app1/bench_2031,,2,112.6,,2,98.1,,2,137.6,,2,170.8
QF_BV/sage/app1/bench_2088,,2,65.1,,2,71.7,,2,92.9,,2,216.9
QF_BV/sage/app1/bench_2089,,2,100.3,,2,101.9,,2,203.8,,2,192.4
QF_BV/sage/app1/bench_2124,,2,58.3,,2,78.0,,2,98.2,,2,79.4
QF_BV/sage/app1/bench_2128,,2,60.2,,2,69.2,,2,106.1,,2,163.7
QF_BV/sage/app1/bench_2129,,2,103.1,,2,177.6,,2,122.8,,2,185.9
QF_BV/sage/app1/bench_2133,,2,96.4,,2,80.5,,2,177.4,,2,133.6
QF_BV/sage/app1/bench_2135,,2,75.5,,2,70.4,,2,136.3,,2,134.6
QF_BV/sage/app1/bench_2138,,2,50.0,,2,87.4,,2,150.8,,2,142.6
QF_BV/sage/app1/bench_2141,,2,64.5,,2,64.2,,2,94.1,,2,72.6
QF_BV/sage/app1/bench_2173,,2,104.0,,2,54.0,,2,186.5,,2,188.3
QF_BV/sage/app1/bench_2219,,2,79.8,,2,52.3,,2,122.2,,2,191.9
QF_BV/sage/app1/bench_2252,,2,33.1,,2,37.5,,2,84.8,,2,55.9
QF_BV/sage/app1/bench_2257,,2,55.1,,2,47.1,,2,77.5,,2,169.4
QF_BV/sage/app1/bench_2258,,2,62.6,,2,123.4,,2,67.2,,2,195.8
QF_BV/sage/app1/bench_2262,,2,68.3,,2,40.8,,2,132.0,,2,99.8
QF_BV/sage/app1/bench_2263,,2,98.1,,2,61.2,,2,82.6,,2,168.9
QF_BV/sage/app1/bench_2266,,2,71.5,,2,48.7,,2,88.8,,2,160.5
QF_BV/sage/app1/bench_2270,,2,43.2,,2,32.6,,2,73.2,,2,100.8
QF_BV/sage/app1/bench_2293,,2,52.0,,2,44.4,,2,137.6,,2,118.3
QF_BV/sage/app1/bench_2322,,2,169.4,,2,164.9,,2,156.0,,2,228.1
QF_BV/sage/app1/bench_2330,,2,67.6,,2,34.4,,2,152.1,,2,106.9
QF_BV/sage/app1/bench_2365,,2,33.1,,2,44.3,,2,64.1,,2,184.6
