Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,9,43.7,,8,105.0,,8,144.4,,9,209.8
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,11,65.2,,7,85.9,,8,181.4,,8,156.3
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,10,37.7,,8,63.0,,8,405.4,,8,212.1
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,10,61.3,,8,111.3,,8,135.2,,9,234.9
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,462,56.1,,15,4.2,,10,2.0,,- -,- -
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,- -,- -,,12,2.3,,12,3.1,,15,5.1
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,280,66.2,,13,2.5,,10,4.8,,10,6.8
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,426,96.3,,15,6.3,,9,5.2,,9,6.3
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,431,87.0,,14,4.6,,9,5.3,,10,5.8
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,587,276.4,,12,11.8,,10,6.5,,9,7.6
QF_BV/stp_samples/run_03230.trace.cond_012217_0x4182b4_00,,- -,- -,,16,8.5,,10,5.6,,13,11.0
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,8,1.2,,8,1.6,,8,2.1,,8,4.8
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,12,2.0,,11,1.4,,9,3.7,,9,5.7
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,14,3.3,,13,3.7,,13,6.9,,12,10.5
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,16,4.5,,15,3.9,,13,8.7,,12,13.4
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,257,112.6,,13,6.5,,9,6.2,,9,8.8
QF_BV/stp_samples/run_03230.trace.cond_025424_0x41820e_00,,268,27.2,,13,8.0,,9,4.1,,9,10.6
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,33,18.3,,9,4.5,,8,7.9,,7,9.2
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,201,95.2,,8,5.0,,7,6.0,,7,8.3
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,13,6.8,,9,5.7,,7,6.4,,7,10.9
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,16,8.0,,7,4.3,,6,4.3,,6,7.4
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,2,4.0,,2,2.9,,2,4.2,,2,7.9
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,- -,- -,,- -,- -,,- -,- -,,336,303.1
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,- -,- -,,- -,- -,,115,79.1,,132,120.2
QF_BV/tacas07/s-40-50-bv,,35,164.8,,26,203.8,,25,356.8,,24,911.9
,,,,,,,,,,,,
QF_ABV/bench_ab/a84test0002,,2,0.0,,3,0.0,,2,0.0,,4,0.1
QF_ABV/bench_ab/a271test0009,,3,0.1,,3,0.1,,2,0.1,,2,0.2
QF_ABV/bench_ab/a283test0002,,6,0.1,,7,0.1,,4,0.0,,4,0.1
QF_ABV/bench_ab/a288test0004,,4,0.1,,5,0.1,,3,0.1,,3,0.2
QF_ABV/bench_ab/a296test0002,,5,1.9,,9,16.2,,5,8.9,,4,11.4
QF_ABV/bench_ab/b264test0001,,3,0.0,,3,0.1,,3,0.1,,3,0.2
QF_ABV/bmc-arrays/ex6,,13,0.8,,17,1.3,,14,2.3,,24,7.5
QF_ABV/bmc-arrays/ex20,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_ABV/bmc-arrays/inf4,,3,0.4,,3,0.6,,3,1.4,,3,2.8
QF_ABV/bmc-arrays/simple_control_on_input,,15,5.5,,7,5.6,,5,9.4,,6,22.5
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,845,224.2,,27,1.2,,13,0.7,,352,67.6
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,- -,- -,,7,0.1,,11,0.2,,515,78.5
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,- -,- -,,17,0.7,,18,1.0,,11,0.7
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,18,1.3,,12,0.6,,14,2.0,,17,3.9
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,681,112.3,,- -,- -,,8,0.4,,- -,- -
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,12,980.4,,12,1330.6,,11,719.0,,11,687.9
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,- -,- -,,128,2.4,,23,0.5,,- -,- -
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,- -,- -,,152,2.3,,44,1.2,,22,0.7
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,13,10.0,,12,15.2,,9,24.9,,10,51.7
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,6,6.0,,7,15.2,,6,28.1,,6,51.2
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,12,6.9,,12,22.6,,10,33.8,,10,62.6
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,- -,- -,,9,0.2,,15,0.3,,401,47.6
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,7,0.6,,5,0.6,,16,3.8,,- -,- -
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,20,3.0,,6,1.0,,10,4.3,,17,15.1
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,- -,- -,,18,5.1,,11,11.2,,8,13.1
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,6,0.4,,72,228.8,,7,3.4,,6,5.1
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,21,3.2,,4,0.2,,13,2.4,,- -,- -
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,- -,- -,,72,175.4,,34,150.8,,34,270.9
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,- -,- -,,101,268.7,,46,101.4,,45,148.5
QF_ABV/egt/egt-0474,,18,2.1,,7,0.2,,4,0.3,,5,0.5
QF_ABV/egt/egt-1526,,20,1.1,,8,0.2,,5,0.4,,6,0.8
QF_ABV/egt/egt-1550,,9,0.7,,5,0.3,,4,0.4,,6,0.8
QF_ABV/egt/egt-4211,,8,0.2,,4,0.2,,5,0.5,,5,0.8
QF_ABV/egt/egt-6650,,12,0.3,,4,0.1,,4,0.2,,4,0.2
QF_ABV/egt/egt-7155,,7,0.3,,6,0.2,,4,0.4,,4,0.5
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,138,5.0,,4,0.3,,2,0.2,,2,0.2
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,72,50.6,,85,40.6,,116,170.7,,- -,- -
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,8,1.6,,9,3.0,,7,3.7,,7,5.7
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,9,2.5,,10,3.5,,7,4.2,,8,7.1
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,8,2.6,,9,3.8,,7,5.0,,7,7.7
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,7,1.4,,6,1.6,,6,2.5,,6,3.4
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,9,1.9,,7,1.9,,6,2.6,,6,3.8
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,15,3.1,,15,6.3,,12,8.4,,13,12.9
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,12,3.3,,14,5.3,,12,8.4,,13,13.7
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,16,4.7,,15,7.0,,13,10.3,,12,12.6
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,16,3.2,,16,7.2,,12,10.2,,13,15.2
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,14,3.4,,15,7.1,,13,10.5,,13,14.1
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,20,8.3,,16,7.4,,12,10.8,,13,15.6
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,17,4.5,,17,8.2,,12,10.1,,14,15.2
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,14,5.6,,13,6.4,,12,10.4,,13,14.9
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,17,6.3,,16,8.0,,12,10.1,,11,13.3
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,20,5.7,,16,6.1,,11,9.4,,12,15.4
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,16,8.1,,18,9.4,,11,10.1,,13,13.7
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,18,8.3,,15,9.0,,11,11.3,,12,15.8
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,18,10.5,,16,11.1,,13,13.5,,14,21.3
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,31,17.9,,15,10.9,,13,15.8,,14,20.3
