Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,6,38.2,,6,50.2,,6,329.6,,6,156.7
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,6,32.0,,6,46.1,,6,144.8,,6,166.1
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,102,11.5,,8,1.0,,6,1.4,,7,2.5
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,155,25.4,,6,0.8,,7,2.1,,6,2.6
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,29,9.6,,8,1.6,,7,2.9,,7,5.0
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,42,9.7,,9,4.0,,6,3.5,,6,4.9
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,113,28.2,,9,3.7,,6,3.1,,6,4.7
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,70,32.9,,8,8.6,,7,5.1,,7,6.5
QF_BV/stp_samples/run_03230.trace.cond_012217_0x4182b4_00,,290,32.3,,10,5.3,,6,3.6,,8,8.2
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,5,2.3,,5,1.2,,5,1.9,,5,2.7
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,6,1.2,,5,0.8,,5,2.2,,5,2.5
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,7,1.9,,6,2.0,,6,3.4,,6,5.1
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,7,2.4,,6,2.6,,6,4.3,,6,4.6
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,25,14.4,,8,4.3,,7,8.6,,6,6.2
QF_BV/stp_samples/run_03230.trace.cond_025424_0x41820e_00,,26,5.4,,8,5.1,,6,2.5,,6,7.5
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,8,4.4,,5,3.2,,5,4.0,,4,5.3
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,7,3.6,,4,2.6,,4,3.7,,4,5.1
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,5,2.8,,5,3.3,,4,3.6,,4,6.1
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,4,1.7,,4,2.6,,4,2.7,,4,3.3
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,1,2.3,,1,1.8,,1,3.7,,1,4.3
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,- -,- -,,13,4.4,,15,8.0,,15,8.6
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,76,43.1,,8,4.9,,8,10.5,,8,8.9
QF_BV/tacas07/s-40-50-bv,,11,90.8,,10,104.3,,10,210.9,,11,289.6
,,,,,,,,,,,,
QF_ABV/bench_ab/a84test0002,,2,0.0,,3,0.0,,2,0.0,,4,0.1
QF_ABV/bench_ab/a271test0009,,3,0.1,,3,0.1,,2,0.1,,2,0.2
QF_ABV/bench_ab/a283test0002,,6,0.1,,7,0.1,,4,0.0,,4,0.1
QF_ABV/bench_ab/a288test0004,,3,0.0,,3,0.1,,2,0.1,,3,0.2
QF_ABV/bench_ab/a296test0002,,2,2.7,,2,2.3,,2,4.5,,2,5.7
QF_ABV/bench_ab/b264test0001,,2,0.0,,2,0.0,,2,0.1,,2,0.2
QF_ABV/bmc-arrays/ex6,,9,0.4,,10,0.7,,12,1.6,,17,4.2
QF_ABV/bmc-arrays/ex20,,9,41.1,,8,63.2,,5,70.4,,6,120.8
QF_ABV/bmc-arrays/inf4,,2,0.3,,2,0.5,,2,0.8,,2,2.0
QF_ABV/bmc-arrays/simple_control_on_input,,8,3.9,,5,4.5,,4,7.9,,5,17.0
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,845,224.2,,20,0.8,,11,0.6,,17,1.1
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,- -,- -,,6,0.1,,7,0.2,,268,19.0
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,- -,- -,,15,0.7,,12,0.7,,9,0.6
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,9,0.6,,10,0.5,,7,0.8,,12,2.3
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,681,112.3,,463,43.8,,6,0.3,,922,389.4
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,6,394.6,,6,95.9,,6,261.8,,6,371.8
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,- -,- -,,128,2.4,,19,0.4,,- -,- -
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,- -,- -,,46,0.6,,23,0.7,,11,0.2
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,7,4.7,,7,7.5,,6,17.7,,6,26.0
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,5,15.5,,5,9.0,,5,22.7,,5,33.0
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,6,5.4,,7,10.2,,6,20.8,,6,28.2
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,- -,- -,,5,0.1,,11,0.4,,158,8.6
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,6,0.6,,5,0.6,,9,1.7,,172,2526.1
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,6,0.5,,4,0.7,,5,2.1,,6,5.3
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,20,4.0,,11,2.9,,7,8.2,,7,11.4
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,4,0.2,,7,1.0,,5,2.4,,5,4.4
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,14,1.5,,4,0.2,,7,0.9,,11,2.4
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,30,55.8,,20,41.6,,8,41.1,,7,54.0
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,97,1596.1,,57,59.8,,31,55.0,,30,79.6
QF_ABV/egt/egt-0474,,9,0.5,,4,0.1,,3,0.2,,4,0.4
