Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_674,,21,273.4,,22,186.1,,85,892.6,,23,119.0
QF_BV/sage/app1/bench_681,,14,855.0,,25,1132.7,,36,1476.0,,17,297.8
QF_BV/sage/app1/bench_683,,22,512.0,,20,182.4,,84,1296.7,,26,131.0
QF_BV/sage/app1/bench_691,,21,253.8,,21,164.8,,128,1340.0,,24,122.1
QF_BV/sage/app1/bench_692,,14,798.3,,35,1368.7,,34,3443.9,,17,441.1
QF_BV/sage/app1/bench_699,,20,357.1,,21,397.0,,68,414.4,,25,123.1
QF_BV/sage/app1/bench_707,,22,443.1,,22,182.3,,153,1470.5,,24,131.8
QF_BV/sage/app1/bench_715,,21,269.1,,22,207.1,,139,1158.6,,25,80.9
QF_BV/sage/app1/bench_722,,21,244.3,,22,182.2,,84,782.4,,26,149.4
QF_BV/sage/app1/bench_730,,21,249.2,,23,197.7,,173,1806.3,,25,116.0
QF_BV/sage/app1/bench_738,,21,308.6,,23,143.3,,119,1105.7,,25,124.3
QF_BV/sage/app1/bench_745,,22,294.5,,23,164.0,,143,1416.6,,26,120.0
QF_BV/sage/app1/bench_753,,25,231.6,,30,195.2,,104,675.3,,27,133.5
QF_BV/sage/app1/bench_761,,24,401.6,,30,197.5,,74,902.0,,28,155.9
QF_BV/sage/app1/bench_836,,15,1034.4,,31,1064.8,,36,1447.8,,16,457.4
QF_BV/sage/app1/bench_847,,14,931.5,,32,1063.1,,28,1387.4,,18,365.9
QF_BV/sage/app1/bench_858,,14,1173.4,,32,1188.1,,39,2018.5,,17,259.6
QF_BV/sage/app1/bench_869,,14,826.8,,34,1255.1,,34,1717.4,,17,245.9
QF_BV/sage/app1/bench_880,,14,859.4,,31,1025.0,,- -,- -,,17,642.7
QF_BV/sage/app1/bench_914,,14,777.7,,37,920.4,,31,2905.0,,17,337.0
QF_BV/sage/app1/bench_926,,25,257.2,,30,213.8,,144,1161.5,,28,129.1
QF_BV/sage/app1/bench_947,,14,759.8,,34,1180.2,,39,1104.4,,19,443.8
QF_BV/sage/app1/bench_983,,24,246.9,,28,175.5,,115,1287.6,,29,143.6
QF_BV/sage/app1/bench_985,,22,213.5,,29,211.6,,134,927.3,,27,85.5
QF_BV/sage/app1/bench_987,,20,203.8,,27,173.1,,54,343.0,,24,160.4
QF_BV/sage/app1/bench_989,,16,135.0,,25,150.2,,56,586.4,,20,100.8
QF_BV/sage/app1/bench_992,,16,177.5,,23,154.6,,31,196.1,,19,100.6
QF_BV/sage/app1/bench_994,,14,139.4,,20,266.2,,35,358.7,,15,87.6
QF_BV/sage/app1/bench_996,,13,116.3,,21,160.2,,22,145.0,,14,72.6
QF_BV/sage/app1/bench_998,,11,122.7,,21,145.2,,23,218.2,,12,73.1
QF_BV/sage/app1/bench_1000,,10,69.5,,19,66.7,,15,117.4,,11,55.0
QF_BV/sage/app1/bench_1004,,10,55.0,,18,95.3,,12,84.4,,10,39.3
