Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_511,,3,30.4,,19,481.5,,19,481.5,,76,676.1,,69,713.7,,- -,- -
QF_BV/sage/app1/bench_512,,3,34.8,,9,325.2,,9,325.2,,64,643.6,,59,575.0,,3,1925.0
QF_BV/sage/app1/bench_517,,3,45.9,,19,445.8,,19,598.0,,70,785.1,,64,591.2,,- -,- -
QF_BV/sage/app1/bench_531,,3,34.5,,46,557.6,,40,557.6,,77,757.9,,72,757.9,,3,2983.0
QF_BV/sage/app1/bench_535,,3,44.7,,31,432.4,,24,489.1,,98,838.9,,89,838.9,,3,1950.9
QF_BV/sage/app1/bench_537,,3,29.0,,39,500.3,,32,500.3,,28,390.8,,23,390.8,,- -,- -
QF_BV/sage/app1/bench_539,,3,34.7,,14,159.6,,14,274.5,,63,638.5,,56,587.9,,3,3341.4
QF_BV/sage/app1/bench_542,,3,29.5,,19,230.9,,19,230.9,,91,701.0,,82,701.0,,3,2883.3
QF_BV/sage/app1/bench_545,,3,48.2,,8,145.3,,8,145.3,,83,713.2,,75,705.2,,3,3128.7
QF_BV/sage/app1/bench_552,,3,74.9,,20,224.2,,19,224.2,,23,244.3,,21,239.3,,3,3187.9
QF_BV/sage/app1/bench_556,,3,63.8,,11,573.4,,11,573.4,,5,159.3,,5,159.3,,3,3306.8
QF_BV/sage/app1/bench_562,,3,84.4,,43,766.5,,30,766.5,,6,159.0,,6,159.0,,3,1565.2
QF_BV/sage/app1/bench_564,,2,40.3,,9,165.2,,8,316.4,,8,132.4,,8,132.4,,4,1631.5
QF_BV/sage/app1/bench_567,,2,40.2,,57,593.4,,38,593.4,,21,251.9,,21,251.9,,5,2458.7
QF_BV/sage/app1/bench_571,,3,62.7,,30,345.2,,26,345.2,,16,168.1,,14,168.1,,4,1885.3
QF_BV/sage/app1/bench_602,,2,50.2,,6,148.0,,6,148.0,,6,187.3,,6,187.3,,- -,- -
QF_BV/sage/app1/bench_611,,2,50.1,,15,851.9,,15,851.9,,12,227.5,,12,227.5,,7,3058.5
QF_BV/sage/app1/bench_620,,3,77.2,,12,676.5,,12,676.5,,7,173.9,,7,173.9,,4,1899.6
QF_BV/sage/app1/bench_629,,3,70.8,,21,538.6,,21,538.6,,7,139.1,,7,139.1,,4,2181.7
QF_BV/sage/app1/bench_638,,3,69.5,,22,657.8,,19,564.2,,6,174.4,,6,174.4,,3,2273.9
QF_BV/sage/app1/bench_646,,2,44.4,,12,245.6,,12,245.6,,5,166.5,,5,166.5,,5,1969.6
QF_BV/sage/app1/bench_655,,3,103.7,,20,408.7,,19,489.7,,15,217.9,,15,217.9,,4,2272.3
QF_BV/sage/app1/bench_664,,3,60.2,,19,182.2,,19,182.2,,19,253.9,,19,253.9,,5,1461.6
QF_BV/sage/app1/bench_674,,3,81.1,,19,267.1,,19,267.1,,15,208.2,,15,208.2,,4,1467.5
QF_BV/sage/app1/bench_681,,2,180.0,,2,468.9,,2,468.9,,2,188.4,,2,188.4,,- -,- -
QF_BV/sage/app1/bench_683,,3,55.7,,5,271.3,,5,271.3,,18,236.2,,17,181.6,,3,947.5
QF_BV/sage/app1/bench_691,,3,54.2,,21,251.0,,21,251.0,,17,242.8,,16,242.8,,4,993.5
QF_BV/sage/app1/bench_692,,2,101.0,,2,323.8,,2,323.8,,2,158.0,,2,158.0,,- -,- -
QF_BV/sage/app1/bench_699,,3,59.7,,19,258.4,,19,243.8,,19,185.2,,19,181.0,,4,1412.5
QF_BV/sage/app1/bench_707,,3,53.1,,20,235.5,,20,254.4,,15,176.6,,15,176.6,,4,894.9
QF_BV/sage/app1/bench_715,,3,52.8,,22,288.4,,21,456.2,,16,145.8,,16,145.8,,3,960.0
QF_BV/sage/app1/bench_722,,3,59.4,,4,224.0,,4,224.0,,19,222.6,,19,222.6,,4,1390.1
QF_BV/sage/app1/bench_730,,3,56.6,,22,269.9,,22,269.9,,19,216.3,,18,179.0,,3,1334.5
QF_BV/sage/app1/bench_738,,3,49.6,,21,256.2,,21,379.2,,18,144.4,,18,144.4,,3,534.3
QF_BV/sage/app1/bench_745,,3,48.4,,9,242.5,,9,242.5,,19,234.6,,19,234.6,,3,1255.9
QF_BV/sage/app1/bench_753,,3,40.1,,131,789.6,,120,789.6,,71,560.4,,66,564.3,,3,1077.2
QF_BV/sage/app1/bench_761,,3,53.8,,162,847.5,,142,847.5,,27,350.6,,24,372.9,,3,971.7
QF_BV/sage/app1/bench_836,,2,173.8,,3,350.0,,3,350.0,,2,157.6,,2,157.6,,- -,- -
QF_BV/sage/app1/bench_847,,2,175.2,,2,313.3,,2,313.3,,2,86.8,,2,86.8,,- -,- -
QF_BV/sage/app1/bench_858,,2,158.8,,5,263.3,,5,263.3,,2,178.9,,2,178.9,,- -,- -
QF_BV/sage/app1/bench_869,,2,191.0,,3,342.1,,3,342.1,,2,158.7,,2,158.7,,- -,- -
QF_BV/sage/app1/bench_880,,2,139.5,,3,507.1,,3,507.1,,2,185.6,,2,185.6,,- -,- -
QF_BV/sage/app1/bench_914,,2,192.2,,2,354.0,,2,354.0,,2,160.7,,2,160.7,,- -,- -
QF_BV/sage/app1/bench_926,,3,42.8,,107,611.8,,97,611.8,,69,469.6,,57,617.4,,3,1176.1
QF_BV/sage/app1/bench_947,,2,134.0,,2,328.4,,2,328.4,,2,158.5,,2,158.5,,- -,- -
QF_BV/sage/app1/bench_983,,3,34.0,,111,671.5,,99,743.3,,109,795.0,,95,627.5,,3,1076.4
QF_BV/sage/app1/bench_985,,3,21.1,,99,718.0,,83,718.0,,16,140.0,,16,140.0,,3,727.3
QF_BV/sage/app1/bench_987,,3,36.1,,16,272.1,,16,272.1,,67,540.5,,65,540.5,,3,894.6
QF_BV/sage/app1/bench_989,,3,51.5,,47,516.8,,37,516.8,,29,398.7,,27,376.3,,3,1285.4
QF_BV/sage/app1/bench_992,,3,34.9,,95,648.0,,64,648.0,,91,786.8,,84,635.8,,3,629.5
QF_BV/sage/app1/bench_994,,3,35.8,,122,770.2,,108,770.2,,76,644.7,,70,615.7,,3,937.5
QF_BV/sage/app1/bench_996,,3,46.1,,111,643.4,,94,593.0,,44,360.5,,28,360.5,,3,514.3
QF_BV/sage/app1/bench_998,,3,34.2,,139,727.2,,113,644.1,,89,550.3,,85,550.3,,3,660.5
QF_BV/sage/app1/bench_1000,,3,18.6,,108,623.6,,92,623.6,,143,658.1,,123,658.1,,3,479.8
QF_BV/sage/app1/bench_1004,,3,20.5,,23,140.0,,22,140.0,,250,1010.8,,239,1010.8,,3,613.5
QF_BV/sage/app1/bench_1006,,3,24.7,,127,633.0,,90,650.2,,265,1008.6,,246,1031.5,,3,452.0
QF_BV/sage/app1/bench_1008,,3,23.9,,196,878.7,,148,859.5,,124,573.0,,113,537.6,,3,665.9
QF_BV/sage/app1/bench_1010,,3,18.8,,197,838.4,,136,838.4,,284,975.9,,261,975.3,,3,422.6
QF_BV/sage/app1/bench_1012,,3,20.9,,45,298.5,,35,298.5,,258,1039.7,,248,1039.7,,3,409.5
QF_BV/sage/app1/bench_1015,,3,18.6,,254,939.5,,241,939.5,,114,573.9,,88,573.9,,3,612.6
QF_BV/sage/app1/bench_1017,,3,27.4,,238,951.9,,221,951.9,,212,821.5,,192,821.5,,3,504.5
QF_BV/sage/app1/bench_1019,,3,19.2,,274,1137.4,,253,1084.1,,185,816.6,,177,816.6,,3,428.8
QF_BV/sage/app1/bench_1021,,3,28.6,,179,760.0,,134,824.0,,176,756.2,,165,735.1,,3,531.6
QF_BV/sage/app1/bench_1023,,3,20.9,,180,788.1,,156,788.1,,124,530.7,,117,530.7,,3,544.3
QF_BV/sage/app1/bench_1027,,3,26.0,,240,912.7,,212,852.0,,28,191.7,,27,191.7,,3,432.9
QF_BV/sage/app1/bench_1035,,3,24.3,,190,881.3,,170,881.3,,223,951.0,,209,951.0,,3,494.6
QF_BV/sage/app1/bench_1109,,3,20.7,,120,635.2,,103,635.2,,126,651.3,,116,651.3,,3,532.6
QF_BV/sage/app1/bench_1110,,3,23.7,,176,826.9,,149,826.9,,45,291.3,,42,291.3,,3,668.0
QF_BV/sage/app1/bench_1126,,2,149.6,,3,305.7,,3,305.7,,2,175.2,,2,175.2,,- -,- -
QF_BV/sage/app1/bench_1128,,3,28.0,,34,290.7,,31,288.8,,162,715.8,,145,715.8,,3,592.3
QF_BV/sage/app1/bench_1448,,2,233.7,,3,294.9,,3,294.9,,2,86.0,,2,86.0,,- -,- -
QF_BV/sage/app1/bench_1459,,2,100.2,,3,457.8,,3,457.8,,3,131.9,,3,131.9,,- -,- -
QF_BV/sage/app1/bench_1470,,2,245.1,,3,249.2,,3,249.2,,3,108.4,,3,108.4,,- -,- -
QF_BV/sage/app1/bench_1481,,2,128.9,,2,294.9,,2,294.9,,2,154.4,,2,154.4,,- -,- -
QF_BV/sage/app1/bench_1492,,2,131.0,,4,327.7,,4,327.7,,3,176.0,,3,176.0,,- -,- -
QF_BV/sage/app1/bench_1525,,2,159.0,,3,325.8,,3,325.8,,2,161.9,,2,161.9,,- -,- -
QF_BV/sage/app1/bench_1559,,2,163.6,,4,302.8,,4,302.8,,2,167.0,,2,167.0,,- -,- -
QF_BV/sage/app1/bench_1873,,2,162.4,,2,408.9,,2,408.9,,3,165.8,,3,165.8,,- -,- -
QF_BV/sage/app1/bench_1877,,2,237.2,,4,239.5,,4,239.5,,2,160.4,,2,160.4,,- -,- -
QF_BV/sage/app1/bench_1913,,2,159.1,,4,526.1,,4,526.1,,3,103.4,,3,103.4,,- -,- -
QF_BV/sage/app1/bench_1914,,2,140.3,,3,235.4,,3,235.4,,2,164.6,,2,164.6,,- -,- -
QF_BV/sage/app1/bench_1915,,2,136.0,,3,475.0,,3,475.0,,2,168.4,,2,168.4,,- -,- -
QF_BV/sage/app1/bench_1916,,2,141.7,,2,307.5,,2,307.5,,2,190.7,,2,190.7,,- -,- -
QF_BV/sage/app1/bench_1917,,2,87.0,,4,389.7,,4,389.7,,3,102.7,,3,102.7,,- -,- -
QF_BV/sage/app1/bench_1920,,2,202.2,,3,368.7,,3,368.7,,2,159.1,,2,159.1,,- -,- -
QF_BV/sage/app1/bench_1924,,2,135.9,,2,295.3,,2,295.3,,2,147.5,,2,147.5,,- -,- -
QF_BV/sage/app1/bench_1950,,2,117.6,,2,436.1,,2,436.1,,2,159.9,,2,159.9,,- -,- -
QF_BV/sage/app1/bench_2004,,2,105.0,,2,367.1,,2,367.1,,2,157.4,,2,157.4,,- -,- -
QF_BV/sage/app1/bench_2005,,2,155.1,,5,355.4,,5,355.4,,2,157.6,,2,157.6,,- -,- -
QF_BV/sage/app1/bench_2020,,2,136.3,,2,569.2,,2,569.2,,2,195.8,,2,195.8,,- -,- -
QF_BV/sage/app1/bench_2021,,2,159.8,,2,359.8,,2,359.8,,2,155.2,,2,155.2,,- -,- -
QF_BV/sage/app1/bench_2022,,2,102.4,,4,526.5,,4,526.5,,2,144.2,,2,144.2,,- -,- -
QF_BV/sage/app1/bench_2024,,2,106.0,,3,264.5,,3,264.5,,2,162.3,,2,162.3,,- -,- -
QF_BV/sage/app1/bench_2025,,2,171.2,,3,362.7,,3,362.7,,4,151.8,,4,151.8,,- -,- -
QF_BV/sage/app1/bench_2028,,2,101.2,,12,352.3,,12,352.3,,2,168.3,,2,168.3,,- -,- -
QF_BV/sage/app1/bench_2031,,2,142.2,,2,546.1,,2,546.1,,4,146.8,,4,146.8,,- -,- -
QF_BV/sage/app1/bench_2088,,2,108.3,,2,341.7,,2,341.7,,4,142.7,,4,142.7,,- -,- -
QF_BV/sage/app1/bench_2089,,2,100.3,,2,233.0,,2,233.0,,3,164.2,,3,164.2,,- -,- -
QF_BV/sage/app1/bench_2124,,2,116.3,,10,599.8,,10,599.8,,2,155.9,,2,155.9,,- -,- -
QF_BV/sage/app1/bench_2128,,2,156.3,,3,267.8,,3,267.8,,2,141.0,,2,141.0,,- -,- -
QF_BV/sage/app1/bench_2129,,2,138.1,,2,295.9,,2,295.9,,2,178.7,,2,178.7,,- -,- -
QF_BV/sage/app1/bench_2133,,2,115.7,,4,314.5,,4,314.5,,2,165.6,,2,165.6,,- -,- -
QF_BV/sage/app1/bench_2135,,2,159.8,,3,293.5,,3,293.5,,2,181.4,,2,181.4,,- -,- -
QF_BV/sage/app1/bench_2138,,2,122.6,,2,390.4,,2,390.4,,2,142.2,,2,142.2,,- -,- -
QF_BV/sage/app1/bench_2141,,2,98.2,,2,331.7,,2,331.7,,7,167.6,,7,167.6,,- -,- -
QF_BV/sage/app1/bench_2173,,2,116.8,,2,398.1,,2,398.1,,3,184.2,,3,184.2,,- -,- -
QF_BV/sage/app1/bench_2219,,2,131.4,,2,397.4,,2,397.4,,3,100.4,,3,100.4,,- -,- -
QF_BV/sage/app1/bench_2252,,2,86.1,,6,265.2,,6,265.2,,18,209.2,,18,209.2,,- -,- -
QF_BV/sage/app1/bench_2257,,2,77.4,,4,291.9,,4,291.9,,7,177.6,,7,177.6,,- -,- -
QF_BV/sage/app1/bench_2258,,2,102.1,,7,341.4,,7,341.4,,2,175.5,,2,175.5,,- -,- -
QF_BV/sage/app1/bench_2262,,2,82.4,,2,262.9,,2,262.9,,4,108.6,,4,108.6,,- -,- -
QF_BV/sage/app1/bench_2263,,2,49.2,,3,321.8,,3,321.8,,2,173.5,,2,173.5,,- -,- -
QF_BV/sage/app1/bench_2266,,2,83.8,,2,415.7,,2,415.7,,6,186.4,,6,186.4,,- -,- -
QF_BV/sage/app1/bench_2270,,2,77.4,,7,270.2,,7,270.2,,24,271.4,,24,404.7,,- -,- -
QF_BV/sage/app1/bench_2293,,2,99.0,,4,311.1,,4,311.1,,2,154.0,,2,154.0,,- -,- -
QF_BV/sage/app1/bench_2322,,2,165.6,,2,302.0,,2,302.0,,2,159.6,,2,159.6,,- -,- -
QF_BV/sage/app1/bench_2330,,2,90.3,,4,471.5,,4,471.5,,3,158.1,,3,158.1,,- -,- -
QF_BV/sage/app1/bench_2365,,2,59.5,,3,340.6,,3,340.6,,7,185.8,,7,185.8,,- -,- -
QF_BV/sage/app1/bench_2367,,2,160.9,,4,393.6,,4,393.6,,3,151.2,,3,151.2,,- -,- -
QF_BV/sage/app1/bench_2370,,2,123.1,,21,246.5,,21,246.5,,3,144.0,,3,144.0,,- -,- -
QF_BV/sage/app1/bench_2371,,2,44.2,,13,327.0,,13,327.0,,2,155.2,,2,155.2,,- -,- -
QF_BV/sage/app1/bench_2375,,2,74.9,,3,336.1,,3,336.1,,2,154.7,,2,154.7,,- -,- -
QF_BV/sage/app1/bench_2376,,2,76.0,,3,287.8,,3,287.8,,2,151.7,,2,151.7,,- -,- -
QF_BV/sage/app1/bench_2380,,2,54.1,,8,284.5,,8,284.5,,3,144.9,,3,144.9,,- -,- -
QF_BV/sage/app1/bench_2383,,2,57.5,,8,288.2,,8,288.2,,2,148.4,,2,148.4,,- -,- -
QF_BV/sage/app1/bench_2405,,2,68.7,,4,339.7,,4,339.7,,3,151.2,,3,151.2,,- -,- -
QF_BV/sage/app1/bench_2428,,2,76.2,,5,396.6,,5,396.6,,3,99.4,,3,99.4,,- -,- -
QF_BV/sage/app1/bench_2461,,2,57.2,,18,326.0,,18,326.0,,10,160.2,,10,160.2,,- -,- -
QF_BV/sage/app1/bench_2465,,2,53.5,,6,230.8,,6,230.8,,2,144.9,,2,144.9,,- -,- -
QF_BV/sage/app1/bench_2466,,2,47.9,,2,173.7,,2,173.7,,2,137.1,,2,137.1,,- -,- -
QF_BV/sage/app1/bench_2468,,2,61.7,,6,232.1,,6,232.1,,4,140.3,,4,140.3,,- -,- -
QF_BV/sage/app1/bench_2472,,2,28.5,,8,404.7,,8,404.7,,5,184.0,,5,184.0,,- -,- -
QF_BV/sage/app1/bench_2473,,2,54.4,,10,265.1,,10,265.1,,4,149.0,,4,149.0,,- -,- -
QF_BV/sage/app1/bench_2474,,2,50.0,,6,327.6,,5,298.3,,2,135.4,,2,135.4,,- -,- -
QF_BV/sage/app1/bench_2477,,2,79.5,,6,245.6,,6,245.6,,3,145.2,,3,145.2,,- -,- -
QF_BV/sage/app1/bench_2481,,2,52.0,,11,292.0,,11,292.0,,8,179.4,,8,179.4,,- -,- -
QF_BV/sage/app1/bench_2525,,2,71.3,,3,475.8,,3,475.8,,7,182.9,,7,182.9,,- -,- -
QF_BV/sage/app1/bench_2529,,2,45.7,,8,319.1,,8,319.1,,54,635.2,,50,544.4,,- -,- -
QF_BV/sage/app1/bench_2547,,2,54.9,,4,306.7,,4,306.7,,3,150.6,,3,150.6,,- -,- -
QF_BV/sage/app1/bench_2582,,2,55.5,,3,239.2,,3,239.2,,3,150.2,,3,150.2,,- -,- -
QF_BV/sage/app1/bench_2586,,2,54.5,,23,377.5,,23,377.5,,2,137.2,,2,137.2,,- -,- -
QF_BV/sage/app1/bench_2587,,2,29.3,,7,352.1,,7,352.1,,7,196.2,,7,196.2,,- -,- -
QF_BV/sage/app1/bench_2588,,2,57.2,,8,243.3,,7,243.3,,3,139.9,,3,139.9,,- -,- -
QF_BV/sage/app1/bench_2593,,2,54.0,,16,250.3,,16,250.3,,27,307.9,,25,307.9,,- -,- -
QF_BV/sage/app1/bench_2594,,2,50.1,,7,393.6,,7,393.6,,5,164.9,,4,171.9,,- -,- -
QF_BV/sage/app1/bench_2595,,2,50.3,,14,389.7,,14,389.7,,6,162.1,,6,162.1,,- -,- -
QF_BV/sage/app1/bench_2598,,2,70.0,,10,271.6,,9,271.6,,3,150.9,,3,150.9,,- -,- -
QF_BV/sage/app1/bench_2602,,2,75.3,,18,554.5,,18,554.5,,8,147.2,,8,147.2,,- -,- -
QF_BV/sage/app1/bench_2634,,2,53.8,,13,347.2,,13,347.2,,3,99.6,,3,99.6,,- -,- -
QF_BV/sage/app1/bench_2644,,2,269.2,,9,411.9,,9,411.9,,2,182.5,,2,182.5,,- -,- -
QF_BV/sage/app1/bench_2660,,2,57.6,,9,228.9,,9,228.9,,3,95.0,,3,95.0,,2,3260.3
QF_BV/sage/app12/bench_1570,,1,6.5,,1,6.6,,1,6.6,,1,13.3,,1,13.3,,1,0.6
QF_BV/sage/app12/bench_1592,,1,4.6,,1,6.1,,1,6.1,,1,7.7,,1,7.7,,1,0.6
QF_BV/sage/app12/bench_1603,,1,4.1,,1,6.5,,1,6.5,,1,11.8,,1,11.8,,1,0.6
QF_BV/sage/app12/bench_1625,,1,3.4,,1,6.0,,1,6.0,,1,11.1,,1,11.1,,1,0.6
QF_BV/sage/app12/bench_1636,,1,7.8,,1,6.5,,1,6.5,,1,11.4,,1,11.4,,1,0.6
QF_BV/sage/app12/bench_1670,,1,7.2,,1,6.3,,1,6.3,,1,11.5,,1,11.5,,1,0.4
QF_BV/sage/app12/bench_1681,,1,4.5,,1,7.9,,1,7.9,,1,12.3,,1,12.3,,1,0.6
QF_BV/sage/app12/bench_1692,,1,5.8,,1,7.9,,1,7.9,,1,11.8,,1,11.8,,1,0.7
QF_BV/sage/app12/bench_1803,,1,8.2,,1,6.3,,1,6.3,,1,10.9,,1,10.9,,1,0.4
QF_BV/sage/app12/bench_1914,,1,6.3,,1,6.2,,1,6.2,,1,11.6,,1,11.6,,1,0.6
