Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_699,,3,53.6,,3,41.0,,3,21.6,,3,23.8
QF_BV/sage/app1/bench_707,,3,58.1,,3,38.7,,3,20.7,,3,22.4
QF_BV/sage/app1/bench_715,,3,36.7,,3,43.8,,3,61.5,,3,21.9
QF_BV/sage/app1/bench_722,,3,47.3,,3,37.6,,3,39.5,,3,19.1
QF_BV/sage/app1/bench_730,,3,52.0,,3,36.9,,3,52.4,,3,26.2
QF_BV/sage/app1/bench_738,,3,46.5,,3,35.3,,3,27.3,,3,18.7
QF_BV/sage/app1/bench_745,,3,90.4,,3,23.9,,3,50.7,,3,18.2
QF_BV/sage/app1/bench_753,,3,41.0,,3,34.9,,3,41.0,,3,13.4
QF_BV/sage/app1/bench_761,,3,35.4,,3,55.6,,3,18.0,,3,15.0
QF_BV/sage/app1/bench_836,,2,220.3,,2,181.9,,2,241.5,,2,83.4
QF_BV/sage/app1/bench_847,,2,220.0,,2,147.3,,2,156.8,,2,64.3
QF_BV/sage/app1/bench_858,,2,162.9,,2,127.2,,2,365.4,,2,68.6
QF_BV/sage/app1/bench_869,,2,140.0,,2,125.1,,2,168.0,,2,68.7
QF_BV/sage/app1/bench_880,,2,153.3,,2,125.4,,2,147.2,,2,85.0
QF_BV/sage/app1/bench_914,,2,135.4,,2,100.6,,2,134.1,,2,75.1
QF_BV/sage/app1/bench_926,,3,33.9,,3,32.9,,3,11.9,,3,13.1
QF_BV/sage/app1/bench_947,,2,146.4,,2,154.2,,2,96.8,,2,70.9
QF_BV/sage/app1/bench_983,,3,35.2,,3,64.8,,3,16.3,,3,14.8
QF_BV/sage/app1/bench_985,,3,45.1,,3,58.5,,3,20.1,,3,13.2
QF_BV/sage/app1/bench_987,,3,34.4,,3,31.8,,3,17.8,,3,15.5
QF_BV/sage/app1/bench_989,,3,38.9,,3,23.2,,3,18.5,,3,14.6
QF_BV/sage/app1/bench_992,,3,34.7,,3,33.5,,3,20.4,,3,14.0
QF_BV/sage/app1/bench_994,,3,48.2,,3,24.4,,3,20.5,,3,13.9
QF_BV/sage/app1/bench_996,,3,34.1,,3,37.2,,3,25.2,,3,14.1
QF_BV/sage/app1/bench_998,,3,48.3,,3,30.1,,3,19.0,,3,14.0
QF_BV/sage/app1/bench_1000,,3,16.9,,3,24.2,,3,19.1,,3,13.7
QF_BV/sage/app1/bench_1004,,3,17.8,,3,25.7,,3,17.0,,3,14.3
QF_BV/sage/app1/bench_1006,,3,22.4,,3,23.5,,3,21.0,,3,14.9
QF_BV/sage/app1/bench_1008,,3,26.4,,3,13.7,,3,17.5,,3,11.0
QF_BV/sage/app1/bench_1010,,3,20.0,,3,23.3,,3,19.2,,3,13.6
QF_BV/sage/app1/bench_1012,,3,17.3,,3,12.1,,3,18.6,,3,13.4
QF_BV/sage/app1/bench_1015,,3,19.1,,3,21.2,,3,18.7,,3,16.6
QF_BV/sage/app1/bench_1017,,3,30.3,,3,24.6,,3,18.0,,3,13.6
QF_BV/sage/app1/bench_1019,,3,18.1,,3,15.2,,3,17.0,,3,14.3
QF_BV/sage/app1/bench_1021,,3,29.4,,3,23.2,,3,19.7,,3,13.6
QF_BV/sage/app1/bench_1023,,3,21.3,,3,15.5,,3,25.6,,3,12.8
QF_BV/sage/app1/bench_1027,,3,30.1,,3,13.9,,3,22.1,,3,11.7
QF_BV/sage/app1/bench_1035,,3,26.9,,3,21.0,,3,22.3,,3,13.4
QF_BV/sage/app1/bench_1109,,3,26.4,,3,15.4,,3,22.7,,3,16.6
QF_BV/sage/app1/bench_1110,,3,27.3,,3,14.6,,3,21.3,,3,14.4
QF_BV/sage/app1/bench_1126,,2,219.5,,2,94.5,,2,131.2,,2,89.0
QF_BV/sage/app1/bench_1128,,3,19.1,,3,17.6,,3,21.4,,3,14.7
QF_BV/sage/app1/bench_1448,,2,170.3,,2,96.3,,2,83.8,,2,78.8
QF_BV/sage/app1/bench_1459,,2,273.2,,2,105.2,,2,127.0,,2,88.0
QF_BV/sage/app1/bench_1470,,2,138.5,,2,124.4,,2,116.1,,2,68.4
QF_BV/sage/app1/bench_1481,,2,142.8,,2,94.0,,2,121.7,,2,63.8
QF_BV/sage/app1/bench_1492,,2,144.1,,2,126.3,,2,258.1,,2,64.7
QF_BV/sage/app1/bench_1525,,2,146.4,,2,116.4,,2,128.0,,2,62.3
QF_BV/sage/app1/bench_1559,,2,107.8,,2,187.6,,2,92.1,,2,63.8
QF_BV/sage/app1/bench_1873,,2,168.2,,2,72.3,,2,171.7,,2,62.9
QF_BV/sage/app1/bench_1877,,2,153.7,,2,93.2,,2,144.0,,2,70.3
QF_BV/sage/app1/bench_1913,,2,229.8,,2,101.6,,2,108.4,,2,77.3
QF_BV/sage/app1/bench_1914,,2,81.3,,2,226.1,,2,240.3,,2,62.0
QF_BV/sage/app1/bench_1915,,2,222.8,,2,77.4,,2,117.1,,2,72.9
QF_BV/sage/app1/bench_1916,,2,261.5,,2,118.7,,2,98.1,,2,62.7
QF_BV/sage/app1/bench_1917,,2,121.0,,2,122.1,,2,111.8,,2,67.1
QF_BV/sage/app1/bench_1920,,2,252.2,,2,112.1,,2,161.8,,2,76.2
QF_BV/sage/app1/bench_1924,,2,157.1,,2,98.8,,2,137.2,,2,74.0
QF_BV/sage/app1/bench_1950,,2,173.2,,2,120.9,,2,171.3,,2,67.9
QF_BV/sage/app1/bench_2004,,2,107.5,,2,175.9,,2,79.1,,2,62.5
QF_BV/sage/app1/bench_2005,,2,124.6,,2,81.8,,2,73.3,,2,58.2
QF_BV/sage/app1/bench_2020,,2,132.8,,2,88.7,,2,94.1,,2,54.8
QF_BV/sage/app1/bench_2021,,2,102.5,,2,71.1,,2,158.9,,2,50.1
QF_BV/sage/app1/bench_2022,,2,121.1,,2,161.3,,2,105.2,,2,63.2
QF_BV/sage/app1/bench_2024,,2,141.4,,2,92.7,,2,80.3,,2,46.8
QF_BV/sage/app1/bench_2025,,2,159.2,,2,123.3,,2,77.8,,2,52.1
QF_BV/sage/app1/bench_2028,,2,95.6,,2,92.0,,2,175.7,,2,53.8
QF_BV/sage/app1/bench_2031,,2,245.6,,2,106.6,,2,203.7,,2,65.2
QF_BV/sage/app1/bench_2088,,2,102.7,,2,95.0,,2,93.9,,2,57.8
QF_BV/sage/app1/bench_2089,,2,142.8,,2,296.9,,2,228.2,,2,57.6
QF_BV/sage/app1/bench_2124,,2,107.3,,2,79.6,,2,80.2,,2,47.3
QF_BV/sage/app1/bench_2128,,2,130.7,,2,86.0,,2,78.2,,2,51.0
QF_BV/sage/app1/bench_2129,,2,141.7,,2,146.2,,2,126.0,,2,68.3
QF_BV/sage/app1/bench_2133,,2,97.1,,2,77.8,,2,83.8,,2,51.6
QF_BV/sage/app1/bench_2135,,2,118.6,,2,89.1,,2,114.7,,2,54.5
QF_BV/sage/app1/bench_2138,,2,115.4,,2,93.3,,2,91.6,,2,51.5
QF_BV/sage/app1/bench_2141,,2,100.0,,2,47.3,,2,83.0,,2,41.2
QF_BV/sage/app1/bench_2173,,2,240.6,,2,111.9,,2,98.0,,2,72.8
QF_BV/sage/app1/bench_2219,,2,219.9,,2,110.2,,2,214.5,,2,53.9
QF_BV/sage/app1/bench_2252,,2,80.9,,2,79.9,,2,37.3,,2,35.6
QF_BV/sage/app1/bench_2257,,2,71.1,,2,64.5,,2,100.0,,2,40.1
QF_BV/sage/app1/bench_2258,,2,109.2,,2,71.6,,2,176.0,,2,48.8
QF_BV/sage/app1/bench_2262,,2,70.9,,2,96.3,,2,102.8,,2,29.6
QF_BV/sage/app1/bench_2263,,2,94.0,,2,55.5,,2,98.2,,2,35.5
QF_BV/sage/app1/bench_2266,,2,84.1,,2,54.9,,2,52.6,,2,40.2
QF_BV/sage/app1/bench_2270,,2,47.4,,2,57.1,,2,55.5,,2,34.3
QF_BV/sage/app1/bench_2293,,2,111.0,,2,37.9,,2,145.1,,2,36.9
QF_BV/sage/app1/bench_2322,,2,170.5,,2,114.2,,2,89.4,,2,61.2
QF_BV/sage/app1/bench_2330,,2,89.3,,2,63.8,,2,66.4,,2,35.2
QF_BV/sage/app1/bench_2365,,2,61.5,,2,67.8,,2,46.8,,2,27.8
QF_BV/sage/app1/bench_2367,,2,93.9,,2,110.8,,2,215.7,,2,76.4
QF_BV/sage/app1/bench_2370,,2,109.4,,2,46.6,,2,67.6,,2,27.1
QF_BV/sage/app1/bench_2371,,2,110.3,,2,59.5,,2,101.8,,2,35.1
QF_BV/sage/app1/bench_2375,,2,64.3,,2,35.5,,2,92.9,,2,26.4
QF_BV/sage/app1/bench_2376,,2,60.3,,2,44.3,,2,34.6,,2,28.9
QF_BV/sage/app1/bench_2380,,2,41.5,,2,85.7,,2,39.2,,2,25.2
QF_BV/sage/app1/bench_2383,,2,57.5,,2,85.7,,2,41.9,,2,27.3
QF_BV/sage/app1/bench_2405,,2,42.0,,2,95.2,,2,94.7,,2,37.7
QF_BV/sage/app1/bench_2428,,2,71.2,,2,45.9,,2,69.8,,2,31.8
QF_BV/sage/app1/bench_2461,,2,52.8,,2,64.5,,2,38.9,,2,25.1
QF_BV/sage/app1/bench_2465,,2,55.3,,2,44.2,,2,45.5,,2,18.1
QF_BV/sage/app1/bench_2466,,2,93.9,,2,42.7,,2,52.3,,2,24.9
QF_BV/sage/app1/bench_2468,,2,90.7,,2,43.7,,2,47.2,,2,32.5
QF_BV/sage/app1/bench_2472,,2,66.3,,2,43.3,,2,35.5,,2,23.0
QF_BV/sage/app1/bench_2473,,2,88.5,,2,29.6,,2,33.4,,2,22.6
QF_BV/sage/app1/bench_2474,,2,53.4,,2,42.8,,2,23.6,,2,20.8
QF_BV/sage/app1/bench_2477,,2,54.1,,2,62.0,,2,39.8,,2,24.1
QF_BV/sage/app1/bench_2481,,2,48.5,,2,30.0,,2,38.8,,2,24.0
QF_BV/sage/app1/bench_2525,,2,51.5,,2,56.1,,2,33.9,,2,26.8
QF_BV/sage/app1/bench_2529,,2,58.3,,2,58.4,,2,51.0,,2,19.7
QF_BV/sage/app1/bench_2547,,2,65.1,,2,45.0,,2,99.4,,2,27.8
QF_BV/sage/app1/bench_2582,,2,88.9,,2,35.6,,2,25.7,,2,18.8
QF_BV/sage/app1/bench_2586,,2,54.3,,2,26.4,,2,34.8,,2,21.4
QF_BV/sage/app1/bench_2587,,2,48.8,,2,33.6,,2,51.6,,2,24.6
QF_BV/sage/app1/bench_2588,,2,51.0,,2,33.6,,2,40.2,,2,26.2
QF_BV/sage/app1/bench_2593,,2,65.8,,2,34.4,,2,59.6,,2,25.3
QF_BV/sage/app1/bench_2594,,2,54.7,,2,65.6,,2,28.8,,2,22.3
QF_BV/sage/app1/bench_2595,,2,38.4,,2,33.0,,2,27.6,,2,21.4
QF_BV/sage/app1/bench_2598,,2,55.5,,2,35.4,,2,35.5,,2,20.9
QF_BV/sage/app1/bench_2602,,2,47.6,,2,30.1,,2,33.6,,2,23.9
QF_BV/sage/app1/bench_2634,,2,83.3,,2,28.2,,2,59.2,,2,28.1
QF_BV/sage/app1/bench_2644,,2,183.5,,2,115.2,,2,92.9,,2,63.3
QF_BV/sage/app1/bench_2660,,2,43.8,,2,50.4,,2,36.2,,2,23.5
QF_BV/sage/app12/bench_1570,,1,9.7,,1,5.0,,1,4.8,,1,4.2
QF_BV/sage/app12/bench_1592,,1,6.2,,1,5.5,,1,3.4,,1,4.0
QF_BV/sage/app12/bench_1603,,1,11.0,,1,5.4,,1,4.6,,1,3.9
QF_BV/sage/app12/bench_1625,,1,5.3,,1,3.5,,1,3.6,,1,3.0
QF_BV/sage/app12/bench_1636,,1,11.0,,1,2.8,,1,6.9,,1,4.3
QF_BV/sage/app12/bench_1670,,1,6.4,,1,8.4,,1,9.2,,1,4.0
QF_BV/sage/app12/bench_1681,,1,7.5,,1,12.0,,1,5.1,,1,4.3
QF_BV/sage/app12/bench_1692,,1,7.2,,1,12.7,,1,4.8,,1,4.0
QF_BV/sage/app12/bench_1803,,1,7.7,,1,4.9,,1,5.7,,1,4.4
QF_BV/sage/app12/bench_1914,,1,5.8,,1,8.6,,1,5.6,,1,3.9
QF_BV/sage/app12/bench_2047,,1,9.7,,1,4.8,,1,8.0,,1,3.8
QF_BV/sage/app12/bench_2625,,1,7.2,,1,4.0,,1,5.3,,1,4.1
QF_BV/sage/app12/bench_2714,,1,5.7,,1,5.8,,1,4.3,,1,4.2
QF_BV/sage/app12/bench_2847,,1,7.3,,1,3.3,,1,5.4,,1,4.8
QF_BV/sage/app12/bench_2869,,1,7.1,,1,8.5,,1,8.2,,1,4.0
QF_BV/sage/app12/bench_2892,,1,4.5,,1,4.9,,1,3.9,,1,4.5
QF_BV/sage/app12/bench_2914,,1,5.9,,1,5.0,,1,4.8,,1,3.7
QF_BV/sage/app12/bench_2969,,1,6.2,,1,10.7,,1,3.9,,1,4.4
QF_BV/sage/app12/bench_3014,,1,5.1,,1,5.0,,1,9.0,,1,4.1
QF_BV/sage/app12/bench_3202,,1,6.1,,1,3.9,,1,7.9,,1,4.4
QF_BV/sage/app12/bench_3236,,1,6.3,,1,5.0,,1,12.0,,1,4.4
QF_BV/sage/app12/bench_3247,,1,7.5,,1,4.3,,1,5.0,,1,3.9
QF_BV/sage/app12/bench_3258,,1,5.8,,1,4.0,,1,4.6,,1,4.1
QF_BV/sage/app12/bench_3291,,1,6.9,,1,3.1,,1,9.8,,1,4.5
QF_BV/sage/app12/bench_3324,,1,5.1,,1,3.9,,1,4.6,,1,3.7
QF_BV/sage/app12/bench_3337,,1,11.1,,1,6.7,,1,4.6,,1,4.0
QF_BV/sage/app12/bench_3359,,1,8.6,,1,5.4,,1,3.3,,1,4.4
QF_BV/sage/app12/bench_3381,,1,12.4,,1,5.9,,1,5.1,,1,4.9
QF_BV/sage/app12/bench_3392,,1,7.7,,1,4.9,,1,5.2,,1,4.6
QF_BV/sage/app12/bench_3403,,1,7.4,,1,6.1,,1,4.8,,1,5.4
QF_BV/sage/app12/bench_3414,,1,4.7,,1,5.5,,1,11.1,,1,4.2
QF_BV/sage/app12/bench_3425,,1,7.1,,1,3.4,,1,5.6,,1,4.7
QF_BV/sage/app12/bench_3459,,1,12.1,,1,5.9,,1,5.6,,1,4.3
QF_BV/sage/app12/bench_3470,,1,4.3,,1,4.4,,1,4.5,,1,4.2
QF_BV/sage/app12/bench_3481,,1,11.2,,1,5.0,,1,7.1,,1,4.5
QF_BV/sage/app12/bench_3592,,1,7.4,,1,3.4,,1,10.4,,1,4.0
QF_BV/sage/app12/bench_3703,,1,10.9,,1,8.1,,1,5.3,,1,4.4
QF_BV/sage/app12/bench_3836,,1,6.4,,1,3.4,,1,4.9,,1,4.4
QF_BV/sage/app12/bench_4114,,1,10.8,,1,9.1,,1,5.0,,1,4.6
QF_BV/sage/app12/bench_4202,,1,7.6,,1,4.3,,1,3.9,,1,3.9
QF_BV/sage/app12/bench_4681,,1,8.7,,1,5.4,,1,6.6,,1,5.2
QF_BV/sage/app12/bench_5258,,1,6.1,,1,2.5,,1,4.8,,1,4.0
QF_BV/sage/app12/bench_5324,,1,7.3,,1,4.2,,1,3.6,,1,4.1
QF_BV/sage/app12/bench_5327,,1,6.6,,1,4.4,,1,5.1,,1,4.2
QF_BV/sage/app12/bench_5328,,1,10.7,,1,4.4,,1,6.4,,1,4.9
QF_BV/sage/app12/bench_5329,,1,8.0,,1,3.3,,1,5.0,,1,3.8
QF_BV/sage/app12/bench_5333,,1,6.8,,1,4.5,,1,4.9,,1,4.2
QF_BV/sage/app12/bench_5334,,1,9.4,,1,4.7,,1,6.2,,1,3.8
QF_BV/sage/app12/bench_5335,,1,7.2,,1,4.6,,1,5.2,,1,4.2
QF_BV/sage/app12/bench_5348,,1,13.7,,1,4.9,,1,5.0,,1,4.2
QF_BV/sage/app12/bench_5349,,1,6.5,,1,4.7,,1,4.4,,1,4.0
QF_BV/sage/app12/bench_5350,,1,7.4,,1,6.9,,1,8.8,,1,4.5
QF_BV/sage/app12/bench_5354,,1,6.4,,1,7.0,,1,5.1,,1,4.2
QF_BV/sage/app12/bench_5361,,1,7.4,,1,2.8,,1,8.1,,1,4.1
QF_BV/sage/app12/bench_5365,,1,9.0,,1,8.0,,1,4.9,,1,4.1
QF_BV/sage/app12/bench_5367,,1,5.8,,1,6.0,,1,6.0,,1,5.1
QF_BV/sage/app12/bench_5369,,1,8.9,,1,6.0,,1,6.5,,1,5.0
QF_BV/sage/app12/bench_5370,,1,8.9,,1,9.4,,1,6.1,,1,4.9
QF_BV/sage/app12/bench_5371,,1,7.0,,1,6.3,,1,5.6,,1,4.7
QF_BV/sage/app12/bench_5372,,1,7.5,,1,2.9,,1,6.1,,1,4.5
QF_BV/sage/app12/bench_5373,,1,7.5,,1,4.1,,1,4.4,,1,5.5
QF_BV/sage/app12/bench_5377,,1,5.4,,1,5.2,,1,6.5,,1,4.5
QF_BV/sage/app12/bench_5378,,1,9.0,,1,13.0,,1,11.3,,1,4.6
QF_BV/sage/app12/bench_5379,,1,8.8,,1,4.8,,1,4.3,,1,4.6
QF_BV/sage/app12/bench_5390,,1,14.7,,1,7.7,,1,5.3,,1,5.2
QF_BV/sage/app12/bench_5401,,1,8.0,,1,4.9,,1,3.7,,1,5.0
QF_BV/sage/app12/bench_5414,,1,8.4,,1,2.8,,1,8.4,,1,4.4
QF_BV/sage/app12/bench_5445,,1,8.7,,1,3.6,,1,7.0,,1,4.0
QF_BV/sage/app12/bench_5457,,1,8.9,,1,5.4,,1,5.5,,1,4.8
QF_BV/sage/app12/bench_5461,,1,6.5,,1,4.7,,1,6.6,,1,4.1
QF_BV/sage/app12/bench_5520,,1,5.4,,1,6.2,,1,6.1,,1,4.4
QF_BV/sage/app12/bench_5532,,1,5.2,,1,4.7,,1,5.7,,1,4.5
QF_BV/sage/app12/bench_5537,,1,7.9,,1,5.8,,1,4.1,,1,4.1
QF_BV/sage/app12/bench_5540,,1,5.3,,1,7.2,,1,5.5,,1,4.4
QF_BV/sage/app12/bench_5544,,1,8.1,,1,4.8,,1,6.2,,1,4.5
QF_BV/sage/app12/bench_5545,,1,7.0,,1,4.9,,1,10.0,,1,4.8
QF_BV/sage/app12/bench_5546,,1,8.3,,1,5.8,,1,5.8,,1,4.2
QF_BV/sage/app12/bench_5547,,1,7.2,,1,4.6,,1,5.7,,1,4.5
QF_BV/sage/app12/bench_5559,,1,7.9,,1,4.8,,1,5.6,,1,4.7
QF_BV/sage/app12/bench_5560,,1,7.7,,1,6.0,,1,10.6,,1,4.0
QF_BV/sage/app12/bench_5561,,1,12.9,,1,3.6,,1,5.7,,1,4.4
QF_BV/sage/app12/bench_5566,,1,7.5,,1,4.8,,1,5.2,,1,4.4
QF_BV/sage/app12/bench_5573,,1,8.7,,1,5.4,,1,3.8,,1,4.1
QF_BV/sage/app12/bench_5577,,1,8.4,,1,7.7,,1,3.7,,1,4.2
