Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,8,131.7,,14,35.1,,8,147.2,,- -,- -
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,16,3.2,,- -,- -,,110,14.1,,- -,- -
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,15,4.3,,- -,- -,,52,5.3,,- -,- -
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,10,4.9,,- -,- -,,27,2.9,,12,2.8
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,10,6.4,,- -,- -,,23,5.2,,12,3.3
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,11,7.0,,- -,- -,,15,3.0,,11,3.3
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,9,6.3,,- -,- -,,29,11.2,,13,4.4
QF_BV/stp_samples/run_03230.trace.cond_012217_0x4182b4_00,,11,5.5,,- -,- -,,22,7.4,,12,4.5
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,8,2.8,,10,2.8,,23,6.6,,9,2.8
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,9,3.4,,12,3.4,,33,11.9,,10,3.7
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,11,5.8,,13,8.1,,- -,- -,,13,4.8
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,13,8.3,,15,6.0,,- -,- -,,14,6.7
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,10,11.5,,- -,- -,,23,7.8,,11,5.8
QF_BV/stp_samples/run_03230.trace.cond_025424_0x41820e_00,,7,3.1,,- -,- -,,20,7.1,,8,3.8
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,8,5.0,,- -,- -,,12,5.1,,8,4.3
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,7,6.3,,- -,- -,,23,8.3,,8,4.7
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,7,4.9,,- -,- -,,7,3.0,,8,4.0
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,7,6.2,,- -,- -,,12,4.4,,8,4.2
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,2,8.2,,8,12.8,,2,1.8,,3,4.8
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,519,271.5,,- -,- -,,- -,- -,,- -,- -
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,143,91.8,,- -,- -,,- -,- -,,- -,- -
QF_BV/tacas07/s-40-50-bv,,25,437.8,,120,467.9,,- -,- -,,27,297.3
,,,,,,,,,,,,
QF_ABV/bench_ab/a84test0002,,2,0.0,,5,0.2,,3,0.0,,3,0.0
QF_ABV/bench_ab/a271test0009,,2,0.1,,7,0.5,,7,0.3,,3,0.2
QF_ABV/bench_ab/a283test0002,,3,0.0,,9,1.0,,4,0.0,,4,0.1
QF_ABV/bench_ab/a288test0004,,3,0.1,,13,2.0,,3,0.1,,3,0.1
QF_ABV/bench_ab/a296test0002,,5,11.3,,5,285.1,,5,12.0,,5,9.3
QF_ABV/bench_ab/b264test0001,,3,0.1,,3,0.0,,3,0.1,,3,0.1
QF_ABV/bmc-arrays/ex6,,9,1.6,,49,16.9,,30,5.4,,18,3.1
QF_ABV/bmc-arrays/ex20,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_ABV/bmc-arrays/inf4,,3,1.6,,3,0.5,,3,1.4,,3,1.5
QF_ABV/bmc-arrays/simple_control_on_input,,6,11.5,,- -,- -,,110,144.3,,6,11.9
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,16,1.0,,11,116.0,,36,2.4,,- -,- -
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,95,2.9,,18,154.4,,190,148.1,,- -,- -
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,72,4.1,,11,108.4,,86,14.5,,- -,- -
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,30,12.3,,5,19.1,,- -,- -,,- -,- -
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,45,2.4,,11,112.3,,61,6.0,,- -,- -
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,11,760.1,,- -,- -,,- -,- -,,12,691.4
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,9,0.2,,14,28.0,,111,21.8,,- -,- -
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,17,0.3,,14,54.1,,27,0.9,,- -,- -
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,9,27.6,,- -,- -,,14,42.7,,10,22.2
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,6,41.5,,11,1531.8,,11,856.5,,6,23.2
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,10,35.9,,- -,- -,,16,69.9,,10,26.2
